"","Entity.x","Code","Year","Annual.precipitation","X","Entity.y"
"32","Afghanistan","AFG",1971,245.17657,1,"Afghanistan"
"33","Afghanistan","AFG",1972,493.60233,1,"Afghanistan"
"34","Afghanistan","AFG",1973,327.9221,1,"Afghanistan"
"35","Afghanistan","AFG",1974,364.12756,1,"Afghanistan"
"36","Afghanistan","AFG",1975,346.62283,1,"Afghanistan"
"37","Afghanistan","AFG",1976,423.05795,1,"Afghanistan"
"38","Afghanistan","AFG",1977,375.40482,1,"Afghanistan"
"39","Afghanistan","AFG",1978,336.64066,1,"Afghanistan"
"40","Afghanistan","AFG",1979,395.56918,1,"Afghanistan"
"41","Afghanistan","AFG",1980,414.62546,1,"Afghanistan"
"42","Afghanistan","AFG",1981,404.09573,1,"Afghanistan"
"43","Afghanistan","AFG",1982,499.8618,1,"Afghanistan"
"44","Afghanistan","AFG",1983,370.81726,1,"Afghanistan"
"45","Afghanistan","AFG",1984,335.5672,1,"Afghanistan"
"46","Afghanistan","AFG",1985,314.26273,1,"Afghanistan"
"47","Afghanistan","AFG",1986,389.38318,1,"Afghanistan"
"48","Afghanistan","AFG",1987,342.6375,1,"Afghanistan"
"49","Afghanistan","AFG",1988,374.90253,1,"Afghanistan"
"50","Afghanistan","AFG",1989,371.33426,1,"Afghanistan"
"51","Afghanistan","AFG",1990,389.80063,1,"Afghanistan"
"52","Afghanistan","AFG",1991,522.0118,1,"Afghanistan"
"53","Afghanistan","AFG",1992,483.13354,1,"Afghanistan"
"54","Afghanistan","AFG",1993,352.79886,1,"Afghanistan"
"55","Afghanistan","AFG",1994,375.86728,1,"Afghanistan"
"56","Afghanistan","AFG",1995,363.31094,1,"Afghanistan"
"57","Afghanistan","AFG",1996,365.34705,1,"Afghanistan"
"58","Afghanistan","AFG",1997,418.02246,1,"Afghanistan"
"59","Afghanistan","AFG",1998,404.2699,1,"Afghanistan"
"60","Afghanistan","AFG",1999,347.337,1,"Afghanistan"
"61","Afghanistan","AFG",2000,219.97485,1,"Afghanistan"
"62","Afghanistan","AFG",2001,203.18445,1,"Afghanistan"
"63","Afghanistan","AFG",2002,304.83197,1,"Afghanistan"
"64","Afghanistan","AFG",2003,350.294,1,"Afghanistan"
"65","Afghanistan","AFG",2004,315.41003,1,"Afghanistan"
"66","Afghanistan","AFG",2005,374.579,1,"Afghanistan"
"67","Afghanistan","AFG",2006,346.97827,1,"Afghanistan"
"68","Afghanistan","AFG",2007,339.21094,1,"Afghanistan"
"69","Afghanistan","AFG",2008,278.27866,1,"Afghanistan"
"70","Afghanistan","AFG",2009,420.6156,1,"Afghanistan"
"71","Afghanistan","AFG",2010,332.74048,1,"Afghanistan"
"72","Afghanistan","AFG",2011,350.08728,1,"Afghanistan"
"73","Afghanistan","AFG",2012,385.41104,1,"Afghanistan"
"74","Afghanistan","AFG",2013,332.73666,1,"Afghanistan"
"75","Afghanistan","AFG",2014,348.4212,1,"Afghanistan"
"76","Afghanistan","AFG",2015,396.69046,1,"Afghanistan"
"77","Afghanistan","AFG",2016,313.22546,1,"Afghanistan"
"78","Afghanistan","AFG",2017,324.95364,1,"Afghanistan"
"79","Afghanistan","AFG",2018,280.10526,1,"Afghanistan"
"80","Afghanistan","AFG",2019,434.8305,1,"Afghanistan"
"81","Afghanistan","AFG",2020,406.76816,1,"Afghanistan"
"82","Afghanistan","AFG",2021,211.1876,1,"Afghanistan"
"83","Afghanistan","AFG",2022,319.8052,1,"Afghanistan"
"84","Afghanistan","AFG",2023,270.92355,1,"Afghanistan"
"85","Albania","ALB",1940,1388.5201,3,"Albania"
"86","Albania","ALB",1941,1350.7261,3,"Albania"
"87","Albania","ALB",1942,931.151,3,"Albania"
"88","Albania","ALB",1943,904.35675,3,"Albania"
"89","Albania","ALB",1944,1224.7152,3,"Albania"
"90","Albania","ALB",1945,1025.8207,3,"Albania"
"91","Albania","ALB",1946,1119.7378,3,"Albania"
"92","Albania","ALB",1947,1278.2927,3,"Albania"
"93","Albania","ALB",1948,924.2466,3,"Albania"
"94","Albania","ALB",1949,1171.164,3,"Albania"
"95","Albania","ALB",1950,1073.2523,3,"Albania"
"96","Albania","ALB",1951,1148.8429,3,"Albania"
"97","Albania","ALB",1952,1323.9454,3,"Albania"
"98","Albania","ALB",1953,964.6987,3,"Albania"
"99","Albania","ALB",1954,1214.1189,3,"Albania"
"100","Albania","ALB",1955,1564.9553,3,"Albania"
"101","Albania","ALB",1956,1424.9598,3,"Albania"
"102","Albania","ALB",1957,1212.1298,3,"Albania"
"103","Albania","ALB",1958,1320.1003,3,"Albania"
"104","Albania","ALB",1959,1389.2037,3,"Albania"
"105","Albania","ALB",1960,1711.1532,3,"Albania"
"106","Albania","ALB",1961,983.6811,3,"Albania"
"107","Albania","ALB",1962,1594.8137,3,"Albania"
"108","Albania","ALB",1963,1750.4216,3,"Albania"
"109","Albania","ALB",1964,1422.1814,3,"Albania"
"110","Albania","ALB",1965,1247.9419,3,"Albania"
"111","Albania","ALB",1966,1697.6583,3,"Albania"
"112","Albania","ALB",1967,1151.4725,3,"Albania"
"113","Albania","ALB",1968,1360.6041,3,"Albania"
"114","Albania","ALB",1969,1521.3213,3,"Albania"
"115","Albania","ALB",1970,1625.3536,3,"Albania"
"116","Albania","ALB",1971,1368.3113,3,"Albania"
"117","Albania","ALB",1972,1560.9259,3,"Albania"
"118","Albania","ALB",1973,1394.3987,3,"Albania"
"119","Albania","ALB",1974,1467.9492,3,"Albania"
"120","Albania","ALB",1975,1009.7538,3,"Albania"
"121","Albania","ALB",1976,1436.3872,3,"Albania"
"122","Albania","ALB",1977,1143.9727,3,"Albania"
"123","Albania","ALB",1978,1482.7367,3,"Albania"
"124","Albania","ALB",1979,1640.7605,3,"Albania"
"125","Albania","ALB",1980,1536.8488,3,"Albania"
"126","Albania","ALB",1981,1477.3358,3,"Albania"
"127","Albania","ALB",1982,1025.5452,3,"Albania"
"128","Albania","ALB",1983,1044.4482,3,"Albania"
"129","Albania","ALB",1984,1111.1531,3,"Albania"
"130","Albania","ALB",1985,1287.6998,3,"Albania"
"131","Albania","ALB",1986,1236.4349,3,"Albania"
"132","Albania","ALB",1987,1268.4072,3,"Albania"
"133","Albania","ALB",1988,1081.6216,3,"Albania"
"134","Albania","ALB",1989,1093.4076,3,"Albania"
"135","Albania","ALB",1990,966.8653,3,"Albania"
"136","Albania","ALB",1991,1166.1395,3,"Albania"
"137","Albania","ALB",1992,1007.95886,3,"Albania"
"138","Albania","ALB",1993,1104.6388,3,"Albania"
"139","Albania","ALB",1994,940.75476,3,"Albania"
"140","Albania","ALB",1995,1412.1289,3,"Albania"
"141","Albania","ALB",1996,1528.0774,3,"Albania"
"142","Albania","ALB",1997,979.56946,3,"Albania"
"143","Albania","ALB",1998,1272.2244,3,"Albania"
"144","Albania","ALB",1999,1320.0922,3,"Albania"
"145","Albania","ALB",2000,994.6187,3,"Albania"
"146","Albania","ALB",2001,1179.969,3,"Albania"
"147","Albania","ALB",2002,1286.1083,3,"Albania"
"148","Albania","ALB",2003,1195.5265,3,"Albania"
"149","Albania","ALB",2004,1518.797,3,"Albania"
"150","Albania","ALB",2005,1505.5068,3,"Albania"
"151","Albania","ALB",2006,1110.4503,3,"Albania"
"152","Albania","ALB",2007,1092.2379,3,"Albania"
"153","Albania","ALB",2008,1126.1652,3,"Albania"
"154","Albania","ALB",2009,1534.6018,3,"Albania"
"155","Albania","ALB",2010,1938.1714,3,"Albania"
"156","Albania","ALB",2011,871.21857,3,"Albania"
"157","Albania","ALB",2012,1391.6102,3,"Albania"
"158","Albania","ALB",2013,1419.0454,3,"Albania"
"159","Albania","ALB",2014,1417.2703,3,"Albania"
"160","Albania","ALB",2015,1184.5548,3,"Albania"
"161","Albania","ALB",2016,1565.3773,3,"Albania"
"162","Albania","ALB",2017,1175.3209,3,"Albania"
"163","Albania","ALB",2018,1559.2733,3,"Albania"
"164","Albania","ALB",2019,1282.0195,3,"Albania"
"165","Albania","ALB",2020,1159.1439,3,"Albania"
"166","Albania","ALB",2021,1582.394,3,"Albania"
"167","Albania","ALB",2022,1240.5981,3,"Albania"
"168","Albania","ALB",2023,1461.8156,3,"Albania"
"169","Angola","AGO",1940,967.9678,2,"Angola"
"170","Angola","AGO",1941,758.524,2,"Angola"
"171","Angola","AGO",1942,900.0254,2,"Angola"
"172","Angola","AGO",1943,1026.0813,2,"Angola"
"173","Angola","AGO",1944,962.7074,2,"Angola"
"174","Angola","AGO",1945,1069.5765,2,"Angola"
"175","Angola","AGO",1946,836.7836,2,"Angola"
"176","Angola","AGO",1947,985.5653,2,"Angola"
"177","Angola","AGO",1948,1328.6415,2,"Angola"
"178","Angola","AGO",1949,1178.0437,2,"Angola"
"179","Angola","AGO",1950,1292.2087,2,"Angola"
"180","Angola","AGO",1951,1398.972,2,"Angola"
"181","Angola","AGO",1952,1268.017,2,"Angola"
"182","Angola","AGO",1953,1202.4268,2,"Angola"
"183","Angola","AGO",1954,701.7239,2,"Angola"
"184","Angola","AGO",1955,985.8308,2,"Angola"
"185","Angola","AGO",1956,1005.0509,2,"Angola"
"186","Angola","AGO",1957,1322.0735,2,"Angola"
"187","Angola","AGO",1958,1023.92395,2,"Angola"
"188","Angola","AGO",1959,1314.609,2,"Angola"
"189","Angola","AGO",1960,1335.0513,2,"Angola"
"190","Angola","AGO",1961,1374.2025,2,"Angola"
"191","Angola","AGO",1962,1198.4623,2,"Angola"
"192","Angola","AGO",1963,1257.6635,2,"Angola"
"193","Angola","AGO",1964,1085.1896,2,"Angola"
"194","Angola","AGO",1965,1208.9196,2,"Angola"
"195","Angola","AGO",1966,1195.1332,2,"Angola"
"196","Angola","AGO",1967,1325.4651,2,"Angola"
"197","Angola","AGO",1968,1148.676,2,"Angola"
"198","Angola","AGO",1969,1335.7281,2,"Angola"
"199","Angola","AGO",1970,1138.7148,2,"Angola"
"200","Angola","AGO",1971,1065.7479,2,"Angola"
"201","Angola","AGO",1972,1124.3585,2,"Angola"
"202","Angola","AGO",1973,1014.4578,2,"Angola"
"203","Angola","AGO",1974,1127.1802,2,"Angola"
"204","Angola","AGO",1975,1086.1262,2,"Angola"
"205","Angola","AGO",1976,1295.4318,2,"Angola"
"206","Angola","AGO",1977,1128.4703,2,"Angola"
"207","Angola","AGO",1978,1044.6252,2,"Angola"
"208","Angola","AGO",1979,1169.9357,2,"Angola"
"209","Angola","AGO",1980,888.47595,2,"Angola"
"210","Angola","AGO",1981,974.29236,2,"Angola"
"211","Angola","AGO",1982,1105.6455,2,"Angola"
"212","Angola","AGO",1983,1083.6991,2,"Angola"
"213","Angola","AGO",1984,1177.4454,2,"Angola"
"214","Angola","AGO",1985,967.005,2,"Angola"
"215","Angola","AGO",1986,1205.6465,2,"Angola"
"216","Angola","AGO",1987,1099.932,2,"Angola"
"217","Angola","AGO",1988,1266.3539,2,"Angola"
"218","Angola","AGO",1989,1041.7375,2,"Angola"
"219","Angola","AGO",1990,1219.2151,2,"Angola"
"220","Angola","AGO",1991,1130.2396,2,"Angola"
"221","Angola","AGO",1992,1095.7433,2,"Angola"
"222","Angola","AGO",1993,1216.9558,2,"Angola"
"223","Angola","AGO",1994,1082.4252,2,"Angola"
"224","Angola","AGO",1995,1115.6084,2,"Angola"
"225","Angola","AGO",1996,1019.3723,2,"Angola"
"226","Angola","AGO",1997,1127.5267,2,"Angola"
"227","Angola","AGO",1998,1176.1207,2,"Angola"
"228","Angola","AGO",1999,1231.7241,2,"Angola"
"229","Angola","AGO",2000,1062.7955,2,"Angola"
"230","Angola","AGO",2001,1164.2678,2,"Angola"
"231","Angola","AGO",2002,1238.1097,2,"Angola"
"232","Angola","AGO",2003,1139.8489,2,"Angola"
"233","Angola","AGO",2004,1152.788,2,"Angola"
"234","Angola","AGO",2005,1132.4497,2,"Angola"
"235","Angola","AGO",2006,1222.4216,2,"Angola"
"236","Angola","AGO",2007,1101.8629,2,"Angola"
"237","Angola","AGO",2008,1147.1775,2,"Angola"
"238","Angola","AGO",2009,1145.4615,2,"Angola"
"239","Angola","AGO",2010,1204.3665,2,"Angola"
"240","Angola","AGO",2011,1232.9161,2,"Angola"
"241","Angola","AGO",2012,1059.0887,2,"Angola"
"242","Angola","AGO",2013,1077.3447,2,"Angola"
"243","Angola","AGO",2014,1103.3508,2,"Angola"
"244","Angola","AGO",2015,1091.4386,2,"Angola"
"245","Angola","AGO",2016,1179.3586,2,"Angola"
"246","Angola","AGO",2017,1058.1339,2,"Angola"
"247","Angola","AGO",2018,1127.7213,2,"Angola"
"248","Angola","AGO",2019,1062.6794,2,"Angola"
"249","Angola","AGO",2020,1213.8004,2,"Angola"
"250","Angola","AGO",2021,972.6797,2,"Angola"
"251","Angola","AGO",2022,1055.8431,2,"Angola"
"252","Angola","AGO",2023,1187.2617,2,"Angola"
"253","Argentina","ARG",1940,999.1098,5,"Argentina"
"254","Argentina","ARG",1941,776.3971,5,"Argentina"
"255","Argentina","ARG",1942,757.7333,5,"Argentina"
"256","Argentina","ARG",1943,765.96906,5,"Argentina"
"257","Argentina","ARG",1944,898.2748,5,"Argentina"
"258","Argentina","ARG",1945,696.94666,5,"Argentina"
"259","Argentina","ARG",1946,897.5387,5,"Argentina"
"260","Argentina","ARG",1947,827.30695,5,"Argentina"
"261","Argentina","ARG",1948,903.0926,5,"Argentina"
"262","Argentina","ARG",1949,816.95667,5,"Argentina"
"263","Argentina","ARG",1950,698.47473,5,"Argentina"
"264","Argentina","ARG",1951,948.24634,5,"Argentina"
"265","Argentina","ARG",1952,763.1985,5,"Argentina"
"266","Argentina","ARG",1953,942.1444,5,"Argentina"
"267","Argentina","ARG",1954,871.9115,5,"Argentina"
"268","Argentina","ARG",1955,804.0788,5,"Argentina"
"269","Argentina","ARG",1956,854.0224,5,"Argentina"
"270","Argentina","ARG",1957,897.2865,5,"Argentina"
"271","Argentina","ARG",1958,868.2246,5,"Argentina"
"272","Argentina","ARG",1959,906.47485,5,"Argentina"
"273","Argentina","ARG",1960,723.97845,5,"Argentina"
"274","Argentina","ARG",1961,773.921,5,"Argentina"
"275","Argentina","ARG",1962,632.20087,5,"Argentina"
"276","Argentina","ARG",1963,867.52936,5,"Argentina"
"277","Argentina","ARG",1964,684.3423,5,"Argentina"
"278","Argentina","ARG",1965,699.2885,5,"Argentina"
"279","Argentina","ARG",1966,756.89764,5,"Argentina"
"280","Argentina","ARG",1967,926.60474,5,"Argentina"
"281","Argentina","ARG",1968,840.5514,5,"Argentina"
"282","Argentina","ARG",1969,837.70917,5,"Argentina"
"283","Argentina","ARG",1970,771.4383,5,"Argentina"
"284","Argentina","ARG",1971,736.53467,5,"Argentina"
"285","Argentina","ARG",1972,889.0126,5,"Argentina"
"286","Argentina","ARG",1973,905.55646,5,"Argentina"
"287","Argentina","ARG",1974,790.7809,5,"Argentina"
"288","Argentina","ARG",1975,831.61096,5,"Argentina"
"289","Argentina","ARG",1976,809.02814,5,"Argentina"
"290","Argentina","ARG",1977,825.66394,5,"Argentina"
"291","Argentina","ARG",1978,832.4155,5,"Argentina"
"292","Argentina","ARG",1979,861.7681,5,"Argentina"
"293","Argentina","ARG",1980,848.9574,5,"Argentina"
"294","Argentina","ARG",1981,840.73517,5,"Argentina"
"295","Argentina","ARG",1982,869.18634,5,"Argentina"
"296","Argentina","ARG",1983,832.0623,5,"Argentina"
"297","Argentina","ARG",1984,1028.6696,5,"Argentina"
"298","Argentina","ARG",1985,955.4524,5,"Argentina"
"299","Argentina","ARG",1986,903.6062,5,"Argentina"
"300","Argentina","ARG",1987,858.0703,5,"Argentina"
"301","Argentina","ARG",1988,694.78125,5,"Argentina"
"302","Argentina","ARG",1989,728.85986,5,"Argentina"
"303","Argentina","ARG",1990,900.7256,5,"Argentina"
"304","Argentina","ARG",1991,956.6408,5,"Argentina"
"305","Argentina","ARG",1992,955.08905,5,"Argentina"
"306","Argentina","ARG",1993,840.84906,5,"Argentina"
"307","Argentina","ARG",1994,823.37427,5,"Argentina"
"308","Argentina","ARG",1995,687.02277,5,"Argentina"
"309","Argentina","ARG",1996,827.4467,5,"Argentina"
"310","Argentina","ARG",1997,915.9222,5,"Argentina"
"311","Argentina","ARG",1998,850.0312,5,"Argentina"
"312","Argentina","ARG",1999,849.5214,5,"Argentina"
"313","Argentina","ARG",2000,955.05334,5,"Argentina"
"314","Argentina","ARG",2001,936.0044,5,"Argentina"
"315","Argentina","ARG",2002,946.439,5,"Argentina"
"316","Argentina","ARG",2003,749.5623,5,"Argentina"
"317","Argentina","ARG",2004,734.1446,5,"Argentina"
"318","Argentina","ARG",2005,742.7508,5,"Argentina"
"319","Argentina","ARG",2006,756.0748,5,"Argentina"
"320","Argentina","ARG",2007,778.8111,5,"Argentina"
"321","Argentina","ARG",2008,683.702,5,"Argentina"
"322","Argentina","ARG",2009,675.8896,5,"Argentina"
"323","Argentina","ARG",2010,701.8448,5,"Argentina"
"324","Argentina","ARG",2011,678.87366,5,"Argentina"
"325","Argentina","ARG",2012,767.5073,5,"Argentina"
"326","Argentina","ARG",2013,621.6102,5,"Argentina"
"327","Argentina","ARG",2014,858.9137,5,"Argentina"
"328","Argentina","ARG",2015,817.439,5,"Argentina"
"329","Argentina","ARG",2016,804.3934,5,"Argentina"
"330","Argentina","ARG",2017,822.97986,5,"Argentina"
"331","Argentina","ARG",2018,735.38544,5,"Argentina"
"332","Argentina","ARG",2019,693.6649,5,"Argentina"
"333","Argentina","ARG",2020,578.3959,5,"Argentina"
"334","Argentina","ARG",2021,606.77686,5,"Argentina"
"335","Argentina","ARG",2022,538.72076,5,"Argentina"
"336","Argentina","ARG",2023,618.6116,5,"Argentina"
"337","Armenia","ARM",1940,811.2998,6,"Armenia"
"338","Armenia","ARM",1941,845.63446,6,"Armenia"
"339","Armenia","ARM",1942,833.08044,6,"Armenia"
"340","Armenia","ARM",1943,663.8461,6,"Armenia"
"341","Armenia","ARM",1944,804.45233,6,"Armenia"
"342","Armenia","ARM",1945,768.5972,6,"Armenia"
"343","Armenia","ARM",1946,829.68414,6,"Armenia"
"344","Armenia","ARM",1947,731.04736,6,"Armenia"
"345","Armenia","ARM",1948,795.5186,6,"Armenia"
"346","Armenia","ARM",1949,677.1456,6,"Armenia"
"347","Armenia","ARM",1950,851.98157,6,"Armenia"
"348","Armenia","ARM",1951,1005.95935,6,"Armenia"
"349","Armenia","ARM",1952,760.0491,6,"Armenia"
"350","Armenia","ARM",1953,966.8322,6,"Armenia"
"351","Armenia","ARM",1954,800.6376,6,"Armenia"
"352","Armenia","ARM",1955,915.6367,6,"Armenia"
"353","Armenia","ARM",1956,815.039,6,"Armenia"
"354","Armenia","ARM",1957,829.7741,6,"Armenia"
"355","Armenia","ARM",1958,798.33563,6,"Armenia"
"356","Armenia","ARM",1959,906.9312,6,"Armenia"
"357","Armenia","ARM",1960,832.5241,6,"Armenia"
"358","Armenia","ARM",1961,685.4427,6,"Armenia"
"359","Armenia","ARM",1962,808.44824,6,"Armenia"
"360","Armenia","ARM",1963,1259.6422,6,"Armenia"
"361","Armenia","ARM",1964,889.80273,6,"Armenia"
"362","Armenia","ARM",1965,1041.5397,6,"Armenia"
"363","Armenia","ARM",1966,888.9835,6,"Armenia"
"364","Armenia","ARM",1967,1035.0145,6,"Armenia"
"365","Armenia","ARM",1968,971.1342,6,"Armenia"
"366","Armenia","ARM",1969,955.9932,6,"Armenia"
"367","Armenia","ARM",1970,788.1312,6,"Armenia"
"368","Armenia","ARM",1971,829.66516,6,"Armenia"
"369","Armenia","ARM",1972,1012.49536,6,"Armenia"
"370","Armenia","ARM",1973,879.23425,6,"Armenia"
"371","Armenia","ARM",1974,885.74274,6,"Armenia"
"372","Armenia","ARM",1975,849.43036,6,"Armenia"
"373","Armenia","ARM",1976,874.45605,6,"Armenia"
"374","Armenia","ARM",1977,912.70557,6,"Armenia"
"375","Armenia","ARM",1978,918.6867,6,"Armenia"
"376","Armenia","ARM",1979,931.0395,6,"Armenia"
"377","Armenia","ARM",1980,809.6958,6,"Armenia"
"378","Armenia","ARM",1981,1028.7634,6,"Armenia"
"379","Armenia","ARM",1982,1013.81433,6,"Armenia"
"380","Armenia","ARM",1983,964.77924,6,"Armenia"
"381","Armenia","ARM",1984,858.2831,6,"Armenia"
"382","Armenia","ARM",1985,844.5866,6,"Armenia"
"383","Armenia","ARM",1986,928.3789,6,"Armenia"
"384","Armenia","ARM",1987,965.6354,6,"Armenia"
"385","Armenia","ARM",1988,1129.581,6,"Armenia"
"386","Armenia","ARM",1989,812.09186,6,"Armenia"
"387","Armenia","ARM",1990,851.47296,6,"Armenia"
"388","Armenia","ARM",1991,846.9747,6,"Armenia"
"389","Armenia","ARM",1992,865.78406,6,"Armenia"
"390","Armenia","ARM",1993,880.93286,6,"Armenia"
"391","Armenia","ARM",1994,927.36945,6,"Armenia"
"392","Armenia","ARM",1995,788.5806,6,"Armenia"
"393","Armenia","ARM",1996,788.5557,6,"Armenia"
"394","Armenia","ARM",1997,840.4066,6,"Armenia"
"395","Armenia","ARM",1998,772.7795,6,"Armenia"
"396","Armenia","ARM",1999,883.42786,6,"Armenia"
"397","Armenia","ARM",2000,702.6141,6,"Armenia"
"398","Armenia","ARM",2001,800.16656,6,"Armenia"
"399","Armenia","ARM",2002,998.8818,6,"Armenia"
"400","Armenia","ARM",2003,957.29443,6,"Armenia"
"401","Armenia","ARM",2004,862.88885,6,"Armenia"
"402","Armenia","ARM",2005,943.5899,6,"Armenia"
"403","Armenia","ARM",2006,834.9867,6,"Armenia"
"404","Armenia","ARM",2007,980.0577,6,"Armenia"
"405","Armenia","ARM",2008,812.7363,6,"Armenia"
"406","Armenia","ARM",2009,1011.41504,6,"Armenia"
"407","Armenia","ARM",2010,933.978,6,"Armenia"
"408","Armenia","ARM",2011,953.70953,6,"Armenia"
"409","Armenia","ARM",2012,883.94934,6,"Armenia"
"410","Armenia","ARM",2013,859.045,6,"Armenia"
"411","Armenia","ARM",2014,848.19006,6,"Armenia"
"412","Armenia","ARM",2015,931.4436,6,"Armenia"
"413","Armenia","ARM",2016,1031.2413,6,"Armenia"
"414","Armenia","ARM",2017,735.6834,6,"Armenia"
"415","Armenia","ARM",2018,931.0014,6,"Armenia"
"416","Armenia","ARM",2019,745.9784,6,"Armenia"
"417","Armenia","ARM",2020,831.5177,6,"Armenia"
"418","Armenia","ARM",2021,761.6481,6,"Armenia"
"419","Armenia","ARM",2022,706.5359,6,"Armenia"
"420","Armenia","ARM",2023,897.9643,6,"Armenia"
"421","Australia","AUS",1940,381.20828,7,"Australia"
"422","Australia","AUS",1941,402.50888,7,"Australia"
"423","Australia","AUS",1942,445.4508,7,"Australia"
"424","Australia","AUS",1943,390.7707,7,"Australia"
"425","Australia","AUS",1944,437.25378,7,"Australia"
"426","Australia","AUS",1945,412.5097,7,"Australia"
"427","Australia","AUS",1946,319.2895,7,"Australia"
"428","Australia","AUS",1947,399.74203,7,"Australia"
"429","Australia","AUS",1948,396.74847,7,"Australia"
"430","Australia","AUS",1949,539.1222,7,"Australia"
"431","Australia","AUS",1950,559.7328,7,"Australia"
"432","Australia","AUS",1951,320.7251,7,"Australia"
"433","Australia","AUS",1952,351.49896,7,"Australia"
"434","Australia","AUS",1953,420.2125,7,"Australia"
"435","Australia","AUS",1954,369.07306,7,"Australia"
"436","Australia","AUS",1955,507.2265,7,"Australia"
"437","Australia","AUS",1956,565.43066,7,"Australia"
"438","Australia","AUS",1957,370.41745,7,"Australia"
"439","Australia","AUS",1958,334.56436,7,"Australia"
"440","Australia","AUS",1959,392.2895,7,"Australia"
"441","Australia","AUS",1960,430.6693,7,"Australia"
"442","Australia","AUS",1961,317.6044,7,"Australia"
"443","Australia","AUS",1962,437.75214,7,"Australia"
"444","Australia","AUS",1963,498.4477,7,"Australia"
"445","Australia","AUS",1964,429.28564,7,"Australia"
"446","Australia","AUS",1965,385.32327,7,"Australia"
"447","Australia","AUS",1966,373.58002,7,"Australia"
"448","Australia","AUS",1967,418.95374,7,"Australia"
"449","Australia","AUS",1968,512.1829,7,"Australia"
"450","Australia","AUS",1969,348.6652,7,"Australia"
"451","Australia","AUS",1970,309.45087,7,"Australia"
"452","Australia","AUS",1971,426.6612,7,"Australia"
"453","Australia","AUS",1972,351.35437,7,"Australia"
"454","Australia","AUS",1973,572.6378,7,"Australia"
"455","Australia","AUS",1974,713.6615,7,"Australia"
"456","Australia","AUS",1975,570.2322,7,"Australia"
"457","Australia","AUS",1976,499.17566,7,"Australia"
"458","Australia","AUS",1977,453.03998,7,"Australia"
"459","Australia","AUS",1978,504.70856,7,"Australia"
"460","Australia","AUS",1979,443.9052,7,"Australia"
"461","Australia","AUS",1980,411.9969,7,"Australia"
"462","Australia","AUS",1981,524.84894,7,"Australia"
"463","Australia","AUS",1982,400.80215,7,"Australia"
"464","Australia","AUS",1983,505.4971,7,"Australia"
"465","Australia","AUS",1984,554.8835,7,"Australia"
"466","Australia","AUS",1985,412.62817,7,"Australia"
"467","Australia","AUS",1986,400.56125,7,"Australia"
"468","Australia","AUS",1987,469.4546,7,"Australia"
"469","Australia","AUS",1988,456.87595,7,"Australia"
"470","Australia","AUS",1989,457.7424,7,"Australia"
"471","Australia","AUS",1990,417.55386,7,"Australia"
"472","Australia","AUS",1991,454.97507,7,"Australia"
"473","Australia","AUS",1992,443.111,7,"Australia"
"474","Australia","AUS",1993,481.63162,7,"Australia"
"475","Australia","AUS",1994,324.845,7,"Australia"
"476","Australia","AUS",1995,509.56027,7,"Australia"
"477","Australia","AUS",1996,437.56897,7,"Australia"
"478","Australia","AUS",1997,510.7246,7,"Australia"
"479","Australia","AUS",1998,538.7993,7,"Australia"
"480","Australia","AUS",1999,524.8562,7,"Australia"
